product_category,product_name,merchant_name,product_amount,transaction_fee,cashback,loyalty_points,payment_method,transaction_status,device_type,location
Rent Payment,2BHK Flat Deposit,Airbnb,1525.39,36.69,19.19,186,Debit Card,Successful,iOS,Urban
Gas Bill,Commercial Gas Connection,Adani Gas,1495.4,28.19,89.99,182,UPI,Successful,iOS,Urban
Bus Ticket,Semi-Sleeper,MakeMyTrip Bus,1267.71,11.36,95.7,994,UPI,Successful,iOS,Urban
Internet Bill,4G Unlimited Plan,Airtel Broadband,9202.63,6.41,82.24,409,Debit Card,Successful,Android,Urban
Loan Repayment,Home Loan EMI,Axis Bank,3100.58,41.15,40.47,837,Debit Card,Successful,Android,Urban
Flight Booking,Delhi to Mumbai,Yatra,8430.75,44.55,52.61,269,UPI,Successful,Android,Urban
Hotel Booking,Villa,Treebo,6688.17,49.62,22.18,58,UPI,Successful,Android,Urban
Gas Bill,Piped Natural Gas,Adani Gas,1802.28,0.11,14.56,950,UPI,Successful,iOS,Urban
Internet Bill,Broadband 50Mbps Plan,Airtel Broadband,4262.28,2.66,67.63,675,UPI,Successful,iOS,Urban
Insurance Premium,Term Life Policy,Max Life,2207.9,45.7,21.87,129,Wallet Balance,Successful,iOS,Urban
Online Shopping,Fitness Tracker,Flipkart,3186.45,36.06,16.12,812,UPI,Successful,iOS,Suburban
Mobile Recharge,Prepaid Plan 399,BSNL,403.2,10.51,27.03,334,Credit Card,Successful,Android,Rural
Online Shopping,Laptop Backpack,Myntra,9421.81,13.69,66.79,522,UPI,Successful,Android,Suburban
Electricity Bill,Temporary Connection Bill,BSES,5297.09,5.81,95.25,910,Wallet Balance,Successful,Android,Urban
Rent Payment,Co-working Space,NoBroker,3101.18,43.42,81.83,882,Bank Transfer,Successful,Android,Urban
Gas Bill,Auto LPG,Indraprastha Gas,1440.26,7.56,1.35,547,Debit Card,Successful,iOS,Suburban
Streaming Service,Premium Plan,Netflix,2402.15,47.58,21.69,578,Debit Card,Successful,Android,Rural
Grocery Shopping,Dairy Milk Chocolate,Flipkart Supermart,3595.19,14.82,10.09,230,Wallet Balance,Successful,Android,Urban
Flight Booking,Delhi to Mumbai,Yatra,9930.71,43.57,35.17,759,Credit Card,Successful,Android,Urban
Taxi Fare,Share Ride,Meru,307.81,3.26,2.42,568,UPI,Successful,Web,Rural
Taxi Fare,Share Ride,Ola,8996.0,35.05,14.66,779,Bank Transfer,Successful,Android,Urban
Gaming Credits,500 Gems Pack,Roblox,1558.03,33.53,96.45,254,Credit Card,Successful,Android,Urban
Water Bill,Industrial Use,Delhi Jal Board,2699.87,14.68,54.23,773,Bank Transfer,Successful,Android,Rural
Bus Ticket,AC Seater,MakeMyTrip Bus,2991.37,15.24,63.7,468,Debit Card,Successful,Web,Suburban
Rent Payment,Commercial Space Rent,Nestaway,5140.78,0.84,15.7,519,Debit Card,Successful,Android,Urban
Online Shopping,Smart LED TV,Flipkart,7076.38,19.16,41.87,202,Wallet Balance,Successful,iOS,Urban
Flight Booking,Chennai to Hyderabad,Yatra,2956.08,8.75,20.1,556,Wallet Balance,Successful,Android,Suburban
Loan Repayment,Car Loan Installment,Axis Bank,6916.55,37.41,50.01,616,UPI,Successful,Android,Suburban
Taxi Fare,Share Ride,Ola,5642.55,33.5,23.13,38,Bank Transfer,Successful,Web,Rural
Gas Bill,Commercial Gas Connection,Mahanagar Gas,9734.95,48.71,87.78,447,UPI,Successful,Android,Urban
Electricity Bill,Residential Bill,MSEDCL,1916.58,38.48,10.81,83,Credit Card,Successful,iOS,Urban
Taxi Fare,Share Ride,Jugnoo,2014.63,23.48,92.5,370,Wallet Balance,Successful,Android,Urban
Water Bill,Commercial Property,Hyderabad Water Board,1296.33,43.54,87.9,698,Debit Card,Successful,Android,Urban
Electricity Bill,Agricultural Bill,Tata Power,9313.74,44.37,16.47,594,Bank Transfer,Successful,Android,Rural
Bus Ticket,Non-AC Seater,RedBus,6734.22,36.88,64.16,424,Wallet Balance,Successful,Android,Urban
Internet Bill,4G Unlimited Plan,Jio Fiber,1760.92,38.5,86.45,280,Bank Transfer,Successful,Web,Rural
Insurance Premium,Health Insurance,Max Life,5183.52,35.92,41.85,806,UPI,Successful,Android,Urban
Internet Bill,Business Internet Plan,ACT Fibernet,8721.2,34.19,70.07,877,Credit Card,Successful,Android,Urban
Gaming Credits,Legendary Weapon,Call of Duty Mobile,7975.27,3.56,18.94,349,Bank Transfer,Successful,Android,Suburban
Movie Ticket,Baahubali 2,Carnival Cinemas,5741.96,24.87,3.55,60,UPI,Successful,Android,Urban
Loan Repayment,Business Loan Repayment,ICICI Bank,2578.28,35.06,59.04,78,Bank Transfer,Successful,Android,Urban
Insurance Premium,Travel Insurance,Max Life,3855.29,23.46,73.61,117,UPI,Successful,iOS,Urban
Mobile Recharge,Postpaid Plan 599,Airtel,1446.76,6.15,75.16,684,Debit Card,Successful,iOS,Suburban
Gas Bill,Piped Natural Gas,Bharat Gas,3090.15,20.3,32.99,714,Debit Card,Successful,Android,Urban
Water Bill,Tanker Supply,Hyderabad Water Board,1203.62,32.45,73.95,961,Debit Card,Successful,Web,Urban
Grocery Shopping,Dairy Milk Chocolate,Amazon Pantry,372.6,6.61,67.38,379,UPI,Successful,Android,Suburban
Movie Ticket,3 Idiots,INOX,7393.64,33.05,80.36,415,Bank Transfer,Successful,Android,Rural
Water Bill,Commercial Property,Bangalore Water Supply,6326.46,8.23,64.76,909,UPI,Successful,iOS,Suburban
Loan Repayment,Education Loan EMI,HDFC Bank,1044.85,3.6,95.47,769,Debit Card,Successful,Android,Urban
Taxi Fare,Rental Package,Uber,408.34,9.82,99.57,153,Credit Card,Successful,Android,Suburban
Rent Payment,Co-working Space,OYO Life,8783.03,47.7,51.8,373,Bank Transfer,Successful,iOS,Rural
Mobile Recharge,Postpaid Plan 599,Idea,9654.79,30.42,44.61,602,Debit Card,Successful,Android,Rural
Grocery Shopping,Dairy Milk Chocolate,Flipkart Supermart,4910.93,40.94,48.52,804,Credit Card,Successful,Android,Suburban
Food Delivery,Pizza Margherita,Uber Eats,7012.4,40.47,47.37,872,Wallet Balance,Successful,Android,Urban
Gas Bill,Piped Natural Gas,Mahanagar Gas,6464.24,1.28,81.33,281,Debit Card,Successful,Web,Urban
Loan Repayment,Home Loan EMI,ICICI Bank,9828.97,21.55,50.04,414,UPI,Successful,Android,Urban
Taxi Fare,Airport Transfer,Rapido,4849.13,46.72,88.66,859,Bank Transfer,Successful,iOS,Urban
Taxi Fare,Outstation Trip,Rapido,7078.24,29.32,92.22,533,Bank Transfer,Successful,Android,Urban
Streaming Service,Family Subscription,Netflix,748.75,21.57,34.34,344,Debit Card,Successful,Android,Urban
Internet Bill,Business Internet Plan,BSNL Broadband,615.89,11.53,21.79,777,UPI,Successful,Android,Urban
Taxi Fare,Outstation Trip,Rapido,96.7,39.0,72.11,115,Wallet Balance,Successful,Android,Urban
Gaming Credits,1000 Game Coins,Minecraft,8716.7,49.55,11.57,397,Wallet Balance,Successful,Android,Urban
Online Shopping,Smart LED TV,Myntra,3771.14,39.58,91.57,547,UPI,Successful,Android,Urban
Grocery Shopping,Whole Wheat Atta,Flipkart Supermart,6031.6,22.93,31.89,207,UPI,Successful,Android,Urban
